method,attribute,threshold,nodes,edges
attribute,_degree,10000.0,2,1
attribute,_degree,1000.0,9,6
attribute,_degree,100.0,2042,14686
attribute,_degree,10.0,28572,208007
attribute,_betweenness,0.005,0,0
attribute,_betweenness,0.0005,2,1
attribute,_betweenness,5e-05,712,5897
attribute,_betweenness,5e-06,9064,113213
attribute,_betweenness,5.000000000000001e-07,110723,504719
attribute,_betweenness,5.000000000000001e-08,566515,1048572
attribute,_pagerank,0.005,0,0
attribute,_pagerank,0.0005,0,0
attribute,_pagerank,5e-05,0,0
attribute,_pagerank,5e-06,58,41
attribute,_pagerank,5.000000000000001e-07,11645,22753
attribute,_pagerank,5.000000000000001e-08,566515,1048574
attribute,N/A,0.0,566515,1048574
